Nr,Siedziba OKW,LM
1,Legnica,12,
2,Wałbrzych,8,
3,Wrocław,14,
4,Bydgoszcz,12
5,Toruń,13
6,Lublin,15
7,Chełm,12
8,Zielona Góra,12
9,Łódź,10
10,Piotrków Trybunalski,9
11,Sieradz,12
12,Chrzanów,8
13,Kraków,14
14,Nowy Sącz,10
15,Tarnów,9
16,Płock,10
17,Radom,9
18,Siedlce,12
19,Warszawa,20
20,Warszawa,12
21,Opole,12
22,Krosno,11
23,Rzeszów,15
24,Białystok,14
25,Gdańsk,12
26,Słupsk,14
27,Bielsko-Biała,9
28,Częstochowa,7
29,Gliwice,9
30,Rybnik,9
31,Katowice,12
32,Sosnowiec,9
33,Kielce,16
34,Elbląg,8
35,Olsztyn,10
36,Kalisz,12
37,Konin,9
38,Piła,9
39,Poznań,10
40,Koszalin,8
41,Szczecin,12
